Condition,Accuracy,Precision,Recall,F1,ROC_AUC
Original,0.8285256410256411,0.8004246284501062,0.9666666666666667,0.875725900116144,0.943436335744028
Darker,0.6907051282051282,0.6695352839931153,0.9974358974358974,0.8012358393408857,0.9321389436774052
Brighter,0.875,0.8786407766990292,0.9282051282051282,0.9027431421446384,0.9343962305500767
Blurred,0.8317307692307693,0.7962577962577962,0.982051282051282,0.8794489092996556,0.9450909489371029
Gaussian Noise,0.7932692307692307,0.7543859649122807,0.9923076923076923,0.8571428571428571,0.9414968222660531
Low Contrast,0.7035256410256411,0.6807760141093474,0.9897435897435898,0.8066875653082549,0.9355029585798816
