deleted_percent,confidence
0.000000000000000000e+00,9.880809783935546875e-01
1.000000000000000000e+01,8.976956605911254883e-01
2.000000000000000000e+01,9.310358762741088867e-01
3.000000000000000000e+01,9.042767882347106934e-01
4.000000000000000000e+01,9.445434808731079102e-01
5.000000000000000000e+01,9.684339761734008789e-01
