deleted_percent,confidence
0.000000000000000000e+00,9.880809783935546875e-01
1.000000000000000000e+01,9.403138160705566406e-01
2.000000000000000000e+01,9.261655211448669434e-01
3.000000000000000000e+01,9.540065526962280273e-01
4.000000000000000000e+01,9.898163080215454102e-01
5.000000000000000000e+01,9.898217916488647461e-01
